,keys,value
852,set,"{'1086, 2': 'One sets up a tent.'}"
853,settle,"{'1213, 4': 'And it settles where it can remain in its state.', '20, 1': 'Sediment settles in a place due to gravity.'}"
854,shake,"{'917, 5': 'The seismic waves shake the earth as they move through it.'}"
855,shape,"{'933, 4': 'The acidity of the water carves and shapes the rock.'}"
856,shed,"{'1094, 6': 'The star sheds its outside layers and becomes a nebula.', '441, 1': 'As the sweat evaporates the sweat sheds molecules into the air.', '587, 5': 'The larva sheds its skin.'}"
857,shine,"{'904, 2': 'Shine it on the retina.'}"
858,shine,"{'330, 1': 'Sunlight shines on plants.', '401, 2': 'Sun shines on solar panels.', '791, 3': 'Sun shines on the solar cells which generates DC electricity.'}"
859,ship,"{'263, 5': 'The recyclable materials are shipped to other recycling centers.', '264, 7': 'The bales are shipped to manufacturers to use to make products.', '872, 10': 'Shipped to gas stations.'}"
860,shoot,"{'1066, 8': 'A primordia shoots out of the ground.'}"
861,shorten,"{'207, 4': 'The motion of the filaments cause the muscle to shorten and contract.'}"
862,shorten,"{'516, 6': ""The front legs appear and the tadpole's tail shortens.""}"
863,shot,"{'1058, 4': 'Water is shot through the jets to clean the dishes.'}"
864,show,"{'574, 5': 'The passenger shows their identification and gets a boarding pass.'}"
865,shred,"{'158, 3': 'The cans are shredded by a machine.'}"
866,shrink,"{'517, 6': 'The tail shrinks.'}"
867,shut,"{'280, 6': 'The magnetism remains until the current is shut off.'}"
868,shut,"{'896, 4': 'When the ventricle is full, the tricuspid valve shuts.'}"
869,sided,"{'1132, 6': 'The bees mold the wax into hexagonal (six sided) cylinders.'}"
870,signal,"{'1214, 5': 'Insulin signals cells to absorb sugar.'}"
871,sing,"{'1091, 4': 'Sing ""Happy Birthday!"".'}"
872,sink,"{'1073, 4': 'Lighter, positively charged particles sink to the bottom of the cloud.', '448, 3': 'Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.', '468, 3': 'The salt particles sink to the bottom of the container.', '67, 3': 'The dead plants sink to the bottom of the swamps.', '67, 4': 'Many more dead plants sink in the same area.', '916, 3': 'The heavy items sink to the bottom.'}"
873,sink,"{'726, 4': ""The animal's skeleton sinks to the bottom of an ocean.""}"
874,sit,"{'1136, 2': 'Owls sit at high points in trees and look around.', '1137, 2': 'They sit still on a perch, like a stump of branch, and wait for prey.'}"
875,sit,"{'521, 3': 'Mother sits on egg until it hatches.'}"
876,sit,"{'522, 3': 'The eggs are incubated by the parents, by sitting on them, for weeks.'}"
877,slide,"{'1046, 2': 'Slide out the bottom rack.'}"
878,slide,"{'1202, 5': 'The ribosome slides down the mRNA.', '543, 5': 'As each kidney makes urine, the urine slides down a long tube called the ureter.'}"
879,slip,"{'743, 2': 'Their feet slip into little grooves that hold pollen sacs.'}"
880,slow,"{'1005, 4': 'The water molecules begin to slow down.', '1224, 6': 'Control rods slow or accelerate the reaction.', '494, 6': 'Body processes slow down.'}"
881,slowed,"{'1189, 3': 'The rock is too big to be slowed down.', '99, 2': 'Rain clouds are stopped or slowed by mountains or wind.'}"
882,slow,"{'251, 6': 'The growing season slows down and ends.', '252, 2': ""The tree's growth slows as the seasons change.""}"
883,smash,"{'115, 1': 'Tectonic plates smash together.', '1189, 4': 'The chunks smash into the earth at a high velocity.'}"
884,smell,"{'253, 1': 'Plants make the seeds smell good, be attractive looking, and taste good.'}"
885,soak,"{'695, 6': 'When water ends up on land, it will either soak into the earth and become part of the ""ground water"" for animals or plants to drink.'}"
886,soak,"{'948, 6': 'The water soaks into the earth.'}"
887,soften,"{'1130, 2': 'Bees will begin to chew max until it becomes softened.'}"
888,sell,"{'882, 7': 'The raw parts are sold to manufactures to make new items.'}"
889,solidify,"{'51, 5': 'The solidified magma forms minerals.'}"
890,solidify,"{'34, 7': 'The magma or lava becomes a hard rock as it solidifies.', '36, 5': 'The magma solidifies.', '51, 4': 'The condensed magma solidifies.'}"
891,sort,"{'157, 3': 'The aluminum is sorted and cleaned at the central recycling facility.', '159, 3': 'At the treatment plant the aluminium is sorted and cleaned.', '264, 2': 'The items are sorted.', '430, 3': 'Sometimes trash is sorted into recycling.', '430, 9': 'Sometimes the trash might be sorted more.', '432, 4': 'The garbage is sorted.', '699, 4': 'The aluminum is sorted and cleaned ready for reprocessing.', '882, 4': 'The items are sorted by what they are made of.'}"
892,sow,"{'689, 1': 'Seeds are sown into the ground.'}"
893,spawn,"{'516, 1': 'An adult frog spawns eggs in water.'}"
894,speak,"{'1250, 1': 'You speak into the receiver on your phone.'}"
895,specialize,"{'263, 6': 'The other recycling centers further process the materials that center specializes in.'}"
896,spend,"{'509, 8': 'The spent fuel is ejected.'}"
897,spin,"{'1059, 4': 'The forced water makes paddles spin like a sprinkler.', '1128, 2': 'Under the right conditions it can develop further and start to spin around a low-pressure center.', '388, 5': 'The generators spin, and produce electricity.', '823, 9': 'Magnets in the turbines spin in wire coils.', '960, 9': 'The turbines spin.'}"
898,spin,"{'1081, 4': 'The turbine spins.', '388, 3': 'The moving water spins the turbines in the power plant.', '390, 4': 'The turbine spins and so does the generator connected to it.', '391, 4': 'The steam spins propeller blades in the turbine.', '394, 3': 'Steam spins turbine.', '396, 5': 'The turbine spins a genator.', '397, 2': 'The shaft of the turbine spins.', '397, 5': 'The rotor spins inside the core, which has magnets inside surrounded by wire loops inside.', '588, 5': 'The caterpillar spins a coccoon around itself and forms into a pupa.', '852, 4': 'Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.'}"
899,split,"{'1077, 3': 'The helix is split into two.', '1152, 3': 'The atoms split.', '396, 2': 'The uranium atoms are split (fission) to produce heat.', '687, 4': 'It is this energy that is used to split water molecules into hydrogen and oxygen.', '770, 3': 'Air is then split into the bronchioles of each lung.', '825, 4': 'Uranium atoms are split into two smaller atoms.', '908, 7': 'When they do this their roots penetrate pores and crevices and cause rocks to split apart as the roots force their way down through the rocks.', '950, 4': 'Over time the rocks split.'}"
900,split,"{'686, 5': 'Energy splits water molecules into hydrogen and oxygen.'}"
901,split,"{'1224, 3': 'The neutrons hit other atoms, splitting them.'}"
902,spoil,"{'1303, 1': 'Food or milk that could spoil easily is brought in.'}"
903,spot,"{'1136, 3': 'When an owl spots a rodent they track it.', '1195, 2': 'The eagle spots a mouse on the ground.'}"
904,spray,"{'433, 8': 'Spray some plant food on it.'}"
905,spray,"{'1058, 6': 'More water is sprayed to rinse the dishes.'}"
906,spray,"{'1060, 7': 'The dishwasher sprays more water to rinse the dishes off.'}"
907,spread,"{'648, 5': 'The plant either self-pollinates or is spread by insects or birds.'}"
908,spread,"{'384, 5': 'The virus replicates and spreads.', '611, 3': 'The bacteria reproduces and spreads.', '690, 3': 'The farmer spreads seeds.'}"
909,sprout,"{'1064, 5': 'The mycelium begin to sprout a bud.', '1083, 5': 'The seed will sprout.', '435, 3': 'You wait for the seeds to sprout.', '649, 2': 'The seed when given nutrients will sprout.'}"
910,sprout,"{'533, 2': 'It sprouts from the soil.'}"
911,squeeze,"{'1158, 2': 'Food is squeezed down the esophagus when you swallow.', '68, 6': 'Pressure caused by the wait of the materials squeezed water from the peat.'}"
912,squeeze,"{'69, 6': 'Pressure caused by sedimentary rocks squeezes water out of the peat.'}"
913,stabilize,"{'1151, 2': 'Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.'}"
914,standing,"{'1136, 4': 'When the rodent is standing still the owl swoops down.'}"
915,start,"{'1085, 4': 'Start a fire in the fire pit.', '1095, 6': 'The gasses will start to disperse.', '1128, 2': 'Under the right conditions it can develop further and start to spin around a low-pressure center.', '1204, 6': 'The ribosome figures out where to start on the mRNA by finding a special three letter ""begin"" sequence called a codon.', '1213, 1': 'You start with a glacier.', '1218, 1': 'Networks of trees start forming.', '141, 8': 'You start the process over again.', '186, 5': 'Mold spores start to consume the bread for energy.', '300, 2': 'Bacteria start to divide and grow.', '315, 1': 'Plants start growing on or near the rocks.', '315, 2': 'The roots of the growing plants start to break up the rock.', '476, 10': 'Eventually the long-term climate patterns start to change.', '519, 1': 'Fish start as eggs.', '530, 1': 'Plants start off as a seed.', '582, 7': 'Winds start to form circular patterns in the updraft.', '654, 3': 'The roots start to gain more nourishment as the tree grows.', '671, 3': 'As the molecules absorb more energy, they start to move faster.', '683, 4': 'The sweat glands start combining water and chemicals to make sweat.', '689, 3': 'The seeds start to grow and become seedlings.', '961, 1': 'A type of coal must be chosen before the heating can start.'}"
916,start,"{'844, 5': 'The magnetic field can be turned on and off by starting or stopping the electricity source.'}"
917,start,"{'1007, 2': 'The dead plant starts to draw microbes.', '1049, 3': 'As the acid is formed, the iron starts to dissolve.', '1051, 4': 'The iron starts to oxidize.', '1051, 5': 'The iron starts to rust.', '1065, 6': 'The mushroom starts growing.', '1084, 3': 'Water the plant if it starts to dry out.', '1114, 3': 'The water starts going into the bedrock below.', '1128, 1': 'A hurricane usually starts as an organized thunderstorm activity that stretches at least 100 miles across and maintains its identity for more than 24 hours.', '1142, 1': 'A forest fire starts.', '1143, 1': 'A forest fire starts.', '1294, 5': 'Turning on the machine starts the water heating.', '229, 4': 'The dam opens its floodgates when it starts to get full.', '251, 1': 'The growing season starts.', '318, 6': 'Erosion starts to occur.', '34, 5': 'The magma starts to harden as it cools.', '436, 6': 'Wait until the water starts to bubble a lot.', '465, 3': 'The water starts to fall.', '476, 9': ""The extra trapped energy starts to change the earth's short term weather."", '489, 3': 'Saliva mixes with the food and starts breaking it down.', '51, 2': 'The magma starts to cool.', '514, 3': 'The snow starts to become packed very firmly.', '521, 7': 'Starts family.', '584, 3': 'It starts to cools down.', '584, 4': 'The water starts to condense.', '584, 6': 'When there is enough moisture in the clouds it starts to rain.', '587, 1': 'A butterfly starts as an egg.', '605, 3': 'The acid rain starts scouring rocks.', '609, 1': 'The piston starts at the top, the intake valve opens, and the piston moves down to let the engine take in a cylinder-full of air and gasoline.', '61, 9': 'The process starts again.', '654, 4': 'The tree starts to attract animals and plants that will grant it more nourishment.', '656, 3': 'The caterpillar starts to form a cocoon around itself.', '658, 1': 'The butterfly starts as an egg.', '695, 7': 'It may also run into the oceans, lakes, or rivers where the cycle starts again.', '775, 5': 'As lava flows from volcanoes it starts to cool.', '808, 4': 'The water begins to get colder until it starts to freeze solid.', '880, 4': 'The clouds become too heavy and it starts to fall.'}"
918,stay,"{'212, 5': 'Clouds eventually become too heavy to stay in the sky.', '478, 7': 'This causes more heat radiation to stay trapped in our atmosphere.', '493, 2': 'The animal finds or builds a suitable place to hibernate where they can stay warm and protected.', '876, 6': 'When they all combine together, they grow bigger and are too heavy to stay up there in the air.'}"
919,stay,"{'460, 5': 'This carbon-based mixture stays underground for a long time.', '529, 7': 'The amount of rabbits stays reasonable because of predators and low survival rates for their young.'}"
920,stick,"{'56, 5': 'The ice crystals stick to each other.', '56, 6': 'The ice crystals get bigger as more of them stick together.', '57, 5': 'Ice crystals in clouds stick together and become snowflakes.'}"
921,stick,"{'1273, 3': 'Some of the pollen sticks to it.', '443, 2': 'The pollen from that flower sticks to the bee.'}"
922,stimulate,"{'615, 6': 'Kidneys stimulate the making of red blood cells.'}"
923,stir,"{'1015, 5': 'Stir or whisk until all the dry flour has been absorbed.'}"
924,stitch,"{'817, 6': 'Thread is attached and used to stitch the clothing.'}"
925,stop,"{'48, 7': 'The lava and other debris stop coming out of the volcano.', '534, 6': 'After awhile the tree will stop growing.'}"
926,stop,"{'99, 2': 'Rain clouds are stopped or slowed by mountains or wind.'}"
927,stop,"{'844, 5': 'The magnetic field can be turned on and off by starting or stopping the electricity source.'}"
928,stop,"{'1207, 1': 'Your body accomplishes ""rapid hemostasis"" (stops the bleeding) through a process called vasoconstriction, in which your blood vessels are closed tight.', '252, 5': 'The tree stops growing quickly in the winter.', '58, 7': 'The rain stops or the dam is repaired.', '70, 6': 'The rain or other source of water stops.'}"
929,store,"{'1216, 5': 'Insulin helps your body store the energy in fat, muscle and liver cells.'}"
930,store,"{'1130, 3': 'The chewed up wax will be stored inside of a honeycomb.', '460, 9': 'Burning releases the energy that has been stored in the fossil fuel.', '516, 5': ""The tadpole develops hind legs and lives off food stored in the it's tail."", '681, 1': 'The animal eats large quantities of food that will be stored as fat.', '817, 1': 'Energy is stored in a battery.', '893, 8': 'The liver turns stored glycogen into glucose.', '940, 3': 'Energy harvested through light reaction is stored by forming ATP.'}"
931,store,"{'548, 6': 'The liver also stores extra carbohydrates as glycogen for the body to use as fuel when needed.', '624, 5': 'The liver takes energy and stores it as glycogen.'}"
932,store,"{'516, 4': 'The tadpole begins storing food in the tail.'}"
933,strain,"{'846, 5': 'The kidneys strain the urea and salts needed from the blood.'}"
934,streaming,"{'830, 6': 'The copies come streaming out of the cell.'}"
935,strengthen,"{'1128, 4': 'If the system strengthens and wind speeds rise past 39 mph, the system is dubbed a ""tropical storm"".'}"
936,stretch,"{'1128, 1': 'A hurricane usually starts as an organized thunderstorm activity that stretches at least 100 miles across and maintains its identity for more than 24 hours.'}"
937,strike,"{'482, 1': 'Sunlight strikes the chlorophyll molecules in the plant.'}"
938,string,"{'1260, 4': 'The spider strings this silk back and forth between objects.'}"
939,strip,"{'607, 6': 'Acid rain in fog at higher elevations can strip foliage off trees.'}"
940,stuck,"{'443, 4': 'The pollen that was stuck to the bee gets brushed onto the pistil of the flower.', '737, 2': 'The animal may consume or get seeds stuck in their fur.', '739, 2': 'The animal gets seeds stuck in their fur.'}"
941,subject,"{'446, 5': 'If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.', '449, 6': 'If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.'}"
942,suck,"{'369, 5': 'They suck up water.'}"
943,supercool,"{'463, 3': 'The supercooled water molecules condense onto the condensation nucleus and freeze.'}"
944,support,"{'1258, 3': 'The star can no longer support its weight.'}"
945,support,"{'1219, 5': 'Larger plants are able to be supported.'}"
946,support,"{'1266, 6': 'The solid nest supports the eggs.'}"
947,surprise,"{'1137, 5': 'They fly silently, without flapping their wings, in order to surprise the prey.'}"
948,surround,"{'397, 5': 'The rotor spins inside the core, which has magnets inside surrounded by wire loops inside.', '770, 5': 'Alveoli is surrounded by many small blood vessels.', '794, 4': 'Alveoli surrounded by small blood vessels.'}"
949,surround,"{'22, 2': 'The rocky area has a higher elevation than the surrounding areas.', '605, 5': 'The lack of vegetation alters the surrounding environment.', '64, 1': 'An area is at a higher elevation than the surrounding area.', '892, 3': 'The ice crystals grow by absorbing surrounding water droplets.', '908, 2': 'As water expands it puts great pressure on the walls of anything containing it, including any rocks which happen to be surrounding it.', '908, 3': 'The force of the pressure exerted on the rock surrounding it is enough to wedge the walls of the crack farther apart, thus expanding and deepening the crack.', '931, 1': 'Magma rises through surrounding rock.'}"
950,surround,"{'1142, 2': 'The fire surrounds the vicinity.'}"
951,survive,"{'1142, 4': 'Those that survive have their habitat destroyed.', '494, 9': 'The animal is able to survive not eating or drinking without hurting itself.', '529, 3': 'Many of the babies do not survive.', '529, 4': 'Larger and stronger rabbit do manage to survive.', '643, 2': 'The tadpole swims with its siblings and tries to survive.'}"
952,sustaining,"{'1224, 4': 'This continues until the reaction is self-sustaining.'}"
953,swallow,"{'1158, 2': 'Food is squeezed down the esophagus when you swallow.', '905, 1': 'The saliva breaks down the chemicals in the food a bit, which helps make the food mushy and easy to swallow.'}"
954,swallow,"{'1197, 3': 'Food is swallowed.'}"
955,swallow,"{'381, 3': 'The cell swallows the virus.'}"
956,swim,"{'642, 4': 'Tadpoles swim in water until they grow legs.'}"
957,swim,"{'643, 2': 'The tadpole swims with its siblings and tries to survive.'}"
958,swirling,"{'1127, 6': 'This moisture causes the swirling air and clouds to grow bigger.'}"
959,switch,"{'540, 6': 'Is switched with the carbon dioxide in the bloodstream.'}"
960,swoop,"{'1136, 4': 'When the rodent is standing still the owl swoops down.', '1138, 6': 'The owl swoops down.', '1195, 3': 'The eagle swoops down.'}"
961,take,"{'1004, 1': 'Take out an ice cube tray.', '1005, 1': 'You take a tray.', '1014, 5': 'Take the cake out when it is cooked through.', '1025, 3': 'Take the tire off of the wheel.', '1046, 3': 'Take a dirty plate.', '139, 7': 'Cells take in the oxygen rich blood and release carbon dioxide rich blood.', '286, 4': 'Take the ice cube tray out of the freezer.', '400, 2': 'They are set up to take the sun rays.', '413, 8': 'The brain can take these nerve signals and can register a sound to you because of them.', '436, 9': 'Take the pot off of the heat source.', '476, 8': 'Trees cannot help take the extra carbon dioxide from the atmosphere.', '523, 4': 'The mother (and sometimes the father) bird take care of the baby birds.', '533, 5': 'It reaches maturity, this make take many years depending on the type of tree.', '539, 1': 'They expand to take the air in .', '539, 3': 'They take in the air and remove the Oxygen.', '544, 1': 'They take in fluids and liquids.', '544, 3': 'They take out the toxins.', '609, 1': 'The piston starts at the top, the intake valve opens, and the piston moves down to let the engine take in a cylinder-full of air and gasoline.', '629, 5': 'Workers take the plastic bag out of the garbage can and place it in the truck.', '644, 6': 'The baby is raised by parents until it is able to take care of itself.', '704, 1': 'You take some paper.', '704, 5': 'You take the letter to the post office.', '705, 7': 'You take it to the post office.', '807, 5': 'Take they tray out of the freezer.', '830, 5': 'The receptors take it over and make it produce thousands or in some cases millions of copies of new viruses.'}"
962,take,"{'1059, 1': 'Cold water taken in through a hose to the bottom.', '1213, 2': 'Through warming or other methods a chunk is taken off the glacier.', '13, 5': 'Water that was absorbed into the ground is taken up by plants.', '159, 2': 'Aluminium cans are then collected and taken to a treatment plant.', '489, 1': 'Food is taken into the mouth.', '698, 2': 'The can is taken to a recycling center.', '699, 3': 'Taken to a treatment plant.', '771, 1': 'Air is taken into the body via the nose or mouth.', '942, 1': 'Air is taken through the mouth.'}"
963,take,"{'1146, 5': 'Gravity takes over.', '1204, 3': 'Transcription takes place in the nucleus.', '249, 4': 'Oxidation takes place when oxygen combines with other elements in rocks.', '249, 7': 'Carbonation takes place when carbon dioxide reactions with certain types of rocks.', '294, 1': 'A person takes in oxygen through their nose or mouth.', '300, 3': 'The uncontrolled growth takes away resources from other cells.', '316, 5': 'It takes the finish of the wood with it.', '423, 7': 'The truck takes the coal to a power station.', '482, 3': 'Plant also takes in water and carbon dioxide from the environment.', '617, 1': 'The human body takes a breath inward.', '624, 1': 'The liver takes in blood from the rest of the body.', '624, 5': 'The liver takes energy and stores it as glycogen.', '706, 9': 'The letter carrier takes the envelope to the correct address.', '908, 1': 'When water freezes it becomes 10% bigger, or takes up 10% more space.'}"
964,talk,"{'923, 4': 'A person talks.'}"
965,taste,"{'253, 1': 'Plants make the seeds smell good, be attractive looking, and taste good.'}"
966,teach,"{'522, 7': 'The parents teach them to fly.'}"
967,tear,"{'472, 4': 'Scavengers tear the body apart and move the bones elsewhere.'}"
968,tell,"{'496, 2': 'The brain tells blood vessels to dilate.', '555, 5': 'Sometimes the brain tells the pancreas the blood sugar (glucose) is too low.', '555, 7': 'Sometimes the brain tells the pancreas the blood sugar (glucose) is too high.'}"
969,thaw,"{'317, 2': 'The water freezes and thaws.'}"
970,thin,"{'435, 5': 'You thin out the plants as they get bigger to give them space to grow.'}"
971,think,"{'484, 2': 'Think of what you want to say.'}"
972,thrive,"{'1218, 5': 'And more organisms begin to thrive.', '649, 5': 'The plant will thrive.'}"
973,throw,"{'431, 2': 'The trashbags are thrown into a large outdoor trashcan.', '698, 1': 'A can is thrown away into a recycling bin.'}"
974,throw,"{'699, 1': 'The consumer throws aluminum cans and foil into a recycle bin.'}"
975,till,"{'690, 2': 'The farmer tills the soil to loosen it.', '690, 4': 'The farmer tills again to plant the seeds.'}"
976,tilt,"{'116, 6': 'Sometimes fault blocks are raised or tilted, and they form Block Mountains.'}"
977,touch,"{'313, 2': 'The particles remove small pieces of the rock each time they touch the rocks.', '499, 3': 'Two contact strips touch one another.'}"
978,touch,"{'22, 8': 'The river erodes the rocky area that it touches.', '64, 7': 'The soil and rocks erode where the stream touches them.'}"
979,track,"{'1136, 3': 'When an owl spots a rodent they track it.'}"
980,tranfer,"{'1273, 5': 'The pollen is tranferred to the new plant.'}"
981,transcribe,"{'1203, 2': 'DNA is unwound partially so that it can be transcribed.'}"
982,transfer,"{'256, 5': 'The air sacs transfer the oxygen into your blood.'}"
983,transfer,"{'1250, 4': 'Electricity is transferred through  a wire or cable.', '132, 4': 'The carbon dioxide in the blood stream is transferred to the air sacs.', '256, 7': 'The carbon dioxide from your blood stream is transferred to your air sacs.', '502, 2': 'The energy is transferred from the pistons moving up and down at high speeds.', '941, 5': 'Oxygen is transferred to red blood cells.'}"
984,transform,"{'1151, 3': 'In the process, they will release energy and matter from their nucleus and often transform into a new element.'}"
985,transform,"{'852, 4': 'Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.'}"
986,transform,"{'1155, 3': 'The resulting heat and pressure transforms the organic layer into a dark and waxy substance known as kerogen.', '409, 5': 'The retina transforms this image into electrical impulses.'}"
987,translate,"{'1203, 3': 'DNA is sent to be translated in cytoplasm where it forms with ribosomes.'}"
988,translate,"{'410, 6': 'The brain translates the electrical signals into the images a person sees.', '412, 10': 'The brain translates the message so you can understand.'}"
989,transmit,"{'390, 7': 'The national grid uses high voltages to transmit electricity through the power lines.'}"
990,transport,"{'157, 2': 'Your town or a private company collect and transport the aluminum to a recycling facility.', '367, 3': 'Transport the water to the parts of the plant where the water is needed.'}"
991,transport,"{'1029, 2': 'The oil is transported to stores.', '112, 2': 'Water is absorbed by the plant and transported to the leaves.', '157, 6': 'The ingots are transported to another facility and rolled out to make them easier to manipulate.', '158, 2': 'The cans are transported to a facility.', '377, 4': 'The oxygen is transported by hemoglobin.', '422, 2': 'The coal is transported either by train or truck to power station.', '425, 2': 'Oil is transported to a refinery.', '617, 2': 'Air is transported to the lungs.', '846, 6': 'The carbon dioxide by product is transported back to the lungs.', '873, 2': 'Crude oil is transported to a refinery.', '874, 2': 'After it is pumped it then is transported to a factory.', '940, 2': 'Water is transported to the leaves in the xylem.'}"
992,trap,"{'702, 5': 'Trap them in our atmosphere.', '922, 7': 'If the magma building in the volcano is thick and sticky it will trap gases.'}"
993,trap,"{'1053, 5': 'The heat is trapped in the greenhouse.', '1142, 3': 'The animals are trapped.', '475, 3': 'Heat is trapped in atmosphere.', '476, 5': 'The earth begins to heat because of the extra trapped energy.', '476, 9': ""The extra trapped energy starts to change the earth's short term weather."", '478, 5': 'Some of this heat is trapped by greenhouse gases in the atmosphere.', '478, 7': 'This causes more heat radiation to stay trapped in our atmosphere.', '482, 2': 'Is trapped.', '542, 4': 'Different kinds of waste are momentarily trapped in the kidney.', '701, 4': 'Some is trapped by the atmosphere.', '701, 5': 'If too much heat is trapped.', '702, 3': 'The gases remain trapped in the atmosphere.', '808, 6': 'Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.'}"
994,trap,"{'113, 1': 'Chloroplasts in the leaf of the plant traps light from the sun.'}"
995,travel,"{'1061, 2': 'You must draw up a plan to what kind of orbit the satellite will travel.', '1061, 3': 'You make preparations for the rocket that will travel into space.', '135, 3': 'The sound waves travel away from the bat.', '207, 1': 'Electrical signals in the brain travel through nerves to muscles.', '409, 6': 'The impulses travel along the optic nerve to the brain.', '412, 2': 'Travel through ear canal to your ear drum.', '413, 3': 'Sound waves travel through the middle ear.', '627, 4': 'The enzymes travel from the pancreas to the small intestine through tubes.', '697, 3': 'The clouds travel and accumulate more water.', '879, 4': 'The clouds travel over areas on land.', '882, 3': 'The recyclable items travel to a recycling plant.', '900, 2': 'The sound waves travel from the outer ear to the middle ear.', '99, 1': 'Rain clouds travel across the sky.'}"
996,travel,"{'1028, 3': 'Heating oil travels from the tank to the burner.', '1029, 6': 'The warm air off of the oil travels through the house.', '1030, 3': 'When your oil burner is engaged, heating oil travels from the tank to the burner by way of a pump.', '1055, 5': 'The nutrients travels through the plants circulatory system.', '1167, 5': 'The light travels to the Earth.', '1190, 4': 'The blood travels into the right ventricle.', '1197, 8': 'The sugar in the blood travels to the body.', '1273, 4': 'The insect or bird travels to another plant of the same species.', '1299, 2': 'The blood travels into the neophrons.', '132, 2': 'The oxygen travels to the lungs through the windpipe.', '139, 1': 'Air enters the nose or mouth and travels through the windpipe into the lungs.', '139, 4': 'Oxygen travels from the alveoli into the blood.', '139, 8': 'The carbon dioxide rich blood travels to the lungs.', '139, 9': 'Carbon dioxide travels through the throat and is exhaled.', '20, 4': 'The sediment travels along the same route as the wind or water.', '20, 7': 'The sediment travels further.', '232, 2': 'The sound travels in waves, as sound does.', '256, 2': 'The air travels through your windpipe.', '256, 6': 'The oxygen travels through your blood stream.', '257, 2': 'The air travels down into your lungs.', '257, 5': 'Carbon dioxide travels from the blood into the lungs.', '257, 6': 'Carbon dioxide travels from the lungs up the windpipe.', '294, 2': 'The oxygen travels into the body.', '310, 2': 'Blood travels to the lungs.', '310, 6': 'The blood travels through the body.', '349, 2': 'The sound travels in waves.', '377, 1': 'Air travels into the body.', '401, 4': 'Sunlight travels into the bottom half of the solar panel.', '411, 7': 'Information concerning moving targets and information governing scanning of the eyes travels to a second site in the brainstem, a nucleus called the superior colliculus.', '431, 4': 'The trash truck travels to the landfill.', '489, 4': 'The chewed food travels down the esophagus to the stomach.', '490, 3': 'Food travels down the esophagus (throat).', '490, 4': 'Food travels into the stomach.', '490, 6': 'Food travels into the small intestine.', '490, 8': 'Food travels into the large intestine.', '536, 2': 'Blood travels through the body.', '619, 2': 'The oxygen travels into the lungs.', '645, 2': 'The fertilized egg, now a zygote, travels to the uterus.', '737, 3': 'The animal travels some distance someplace else.', '769, 4': 'The glucose travels the plant.', '770, 7': 'Blood leaves the lungs as it travels through the body.', '771, 2': 'The air travels into the windpipe.', '927, 6': 'It causes destruction as it travels.', '930, 2': 'As the magma gets pressure it travels upwards.', '930, 5': 'The magma turns to lava in the air and travels down the volcano.'}"
997,treat,"{'550, 2': 'The liver uses chemicals and proteins to treat the blood.'}"
998,treat,"{'1303, 2': 'Through methods of heating the food is treated.'}"
999,try,"{'300, 8': 'The body tries to react to the toxins.', '384, 6': 'The virus causes symptoms in the body as the immune system tries to expel the virus.', '643, 2': 'The tadpole swims with its siblings and tries to survive.', '927, 2': 'The ground tries to absorb as much rain water as it can.'}"
1000,try,"{'1151, 2': 'Radioisotopes would like to be stable isotopes so they are constantly changing to try and stabilize.', '1310, 1': 'Squirrels try to eat as much as possible.'}"
1001,turn,"{'1002, 5': 'Turn on the washing machine.', '1025, 1': 'Turn the bicycle upside down.', '1046, 8': 'Turn on the dishwasher.', '1080, 7': 'The force of the steam makes the mechanism turn.', '1148, 10': 'A couple of other components of the cell turn these electrons into usable power.', '1155, 6': 'It will turn into either petroleum or natural gas.', '1216, 4': 'Insulin helps turn sugars into energy.', '388, 4': 'The turbines turn the generators.', '396, 3': 'The heat is used to turn water into steam.', '413, 7': 'The cochlea helps turn the sound vibrations into nerve signals.', '429, 9': 'Different bacteria turn nitrogen back into a gas-based form.', '436, 3': 'Turn the heat on.', '436, 8': 'Turn the heat source off.', '565, 6': ""As the piston pushes, the crank and connecting rod turn the locomotive's wheels and power the train along."", '57, 4': 'Water droplets turn into ice crystals.', '608, 9': 'The shaft rotates out of the motor to turn the piston energy into rotational energy.', '659, 4': 'When plants die, fungi and bacteria turn nitrogen back into ammonium through ammonification.', '661, 7': 'When a plant or animal dies, decomposers like fungi and bacteria turn the nitrogen back into ammonium so it can reenter the nitrogen cycle.', '665, 2': 'The water will turn into water vapor.', '665, 5': 'The water vapor will turn into liquid water.', '726, 8': 'The sand and mud turn into rock.', '876, 5': 'These then turn into clouds.'}"
